type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.91385052130429	0	0.0147298509934757	0.0195954536807223	0.0181339287649774	0	0.0161575747396095	0.0129806077568572	0.00455206276006787
Control	0.303229596334306	0.0463125566097972	0.0472437879925647	0.0550219441012793	0.0442329912945504	0	0.0483852037209629	0.45557391994654	0
Control	0.203918236815162	0.0607573233288664	0.0353631626343334	0.0332638466633229	0.020690382458616	0	0.0485681424027854	0.597438905696914	0
Control	0.247430407560131	0.0921150223009983	0.055114780853291	0.0699845567436247	0.0585262006171069	0	0.067828212772863	0.409000819151985	0
BRCA2	0.86939722070494	0	0.0226029595648161	0.0306882312716616	0.0240835877911607	0	0.0215310163351411	0.0295051308595698	0.00219185347271108
Control	0.0870525831990279	0.0261222391808503	0.0122335363875221	0.0123479054677493	0.0162309303541342	0	0.0166303408928339	0.829382464517882	0
Control	0.727450244462565	0	0.0406499619044342	0.0564453215224177	0.050746382755163	0	0.0461640628473828	0.0733783299015497	0.00516569660648796
Control	0.193457219593691	0.0487595295942214	0.0267346737967291	0.0296993397438562	0.0243242059835587	0	0.0510608268734337	0.62596420441451	0
BRCA2	0.328370906460685	0.0480582922748418	0.0474723604260974	0.0618848290846391	0.0502567647221885	0	0.0686464140044246	0.395310433027124	0
Control	0.157419813878231	0.0356908157531356	0.0192907143156719	0.0179445669078792	0.018607879133276	0	0.0224687029994295	0.728577507012377	0
Control	0.663041225741185	0	0.0486314173033156	0.070596515849454	0.0590707982258079	0	0.0543347090658479	0.0968139376690382	0.00751139614535111
Control	0.18521158540615	0.0435935666577922	0.0292750971933124	0.0321396774213405	0.0266261784870499	0	0.0354370019159039	0.647716892918452	0
Control	0.502136167346386	0.0407449693903483	0.0545574395322983	0.0731781010173533	0.0593021005381247	0	0.0550507086174891	0.215030513558001	0
Control	0.216582947755864	0.0356258150987503	0.0287919208041771	0.0387175825686189	0.0235664545293825	0	0.0277030796668017	0.629012199576405	0
