type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
BRCA2	0.607018087081864	0.000543215172810589	0.0388953468435696	0.0630409855102779	0.0473788322350043	0	0.0782587656804941	0.158659356271218	0.00620541120476079
Control	0.888897640838037	0	0.0161686202008301	0.0241013317993867	0.0174963757636751	0	0.0311510214195817	0.013713229868666	0.00847178010982331
Control	0.434030135862699	0.0145864997622058	0.0534573067631195	0.0728886742721536	0.0333824626912225	0	0.10434434934952	0.28731057129908	0
Control	0.420410273373566	0.00689843123346632	0.040640553001938	0.0566487633084157	0.0334370386248676	0	0.0925902642947259	0.34937467616302	0
BRCA2	0.705797515026577	0	0.0305995457083962	0.0596445998830631	0.0425032394333288	0	0.0789346921923988	0.0718081690574214	0.0107122386988144
Control	0.770720629934856	0	0.0302209520079358	0.0423968825892027	0.0284627822962552	0	0.0727062282373794	0.050145965109256	0.00534655982511477
BRCA2	0.799115016666833	0	0.0278375692513801	0.0449305279526046	0.0290182569415373	0	0.0454175480910036	0.0463222874092748	0.00735879368736617
BRCA2	0.331400179080627	0.0205957823345308	0.0360370887203684	0.053279791743825	0.0333522143360314	0	0.0891832016601044	0.436151742124513	0
Control	0.97954088428606	0	0.00331032591406461	0.00508419778401915	0.00302960921568285	0	0.00647865412169793	0.00129280206756157	0.00126352661091361
BRCA2	0.412167624622015	0.0413088532292375	0.0366519969155264	0.0515748113219211	0.0428347650813278	0	0.0972535439422447	0.318208404887728	0
Control	0.625290224953909	0	0.0414197281143924	0.0659197111337979	0.0449924104590994	0	0.0768108938610399	0.142369831129625	0.00319720034813707
BRCA2	0.382802990612781	0.0328845272234488	0.0333239258035355	0.0521158126466396	0.0348987814264886	0	0.0650917323103812	0.398882229976726	0
Control	0.354193822375524	0.0289439116664141	0.0378433870863819	0.0694182159412153	0.0486516164703951	0	0.081342285772995	0.379606760687074	0
Control	0.861866299812462	0	0.0204273163717996	0.0290300165438401	0.0217410154853387	0	0.0369148887120604	0.0216843003758945	0.00833616269860458
BRCA2	0.720674184505209	0	0.0299715668362014	0.0556018402947257	0.0396279127398697	0	0.0641271072097648	0.0791434402974796	0.0108539481167495
BRCA2	0.136200910028035	0.0277825991450222	0.00251023050396459	0.0178506472378659	0.0235683653416065	0	0.0296155687087317	0.762471679034774	0
Control	0.836555811516578	0	0.0229085580428381	0.0343973740109243	0.0222137300248998	0	0.047816685294555	0.0266820158244187	0.00942582528578629
Control	0.932719259191034	0	0.00939652447950321	0.0175718692929455	0.0106357923766063	0	0.0180009031834841	0.0063193018217875	0.00535634965463931
Control	0.635520129890162	0	0.0340957508381112	0.0571314796850191	0.0420058161969557	0	0.0780002018597558	0.15284623366275	0.000400387867246475
BRCA2	0.616656258820541	0	0.0415866045424169	0.0569718898032549	0.0377568118993854	0	0.093502191172408	0.144059062044559	0.00946718171743503
Control	0.882688670493946	0	0.0161402629845846	0.0203234499987942	0.0119311346172871	0	0.0427229572806913	0.0261935246246965	0
Control	0.719638454302715	0	0.0337439523286794	0.0469840038315562	0.0299031368113689	0	0.0687292552691288	0.0782335778944008	0.0227676195621509
BRCA2	0.286650575195951	0.0343063289205724	0.0265953861146483	0.0670312578033802	0.0544764540187034	0	0.0614861834712698	0.469453814475474	0
BRCA2	0.706394787144466	0	0.0351837648706836	0.0403236301258728	0.0224087865048709	0	0.0666737458451316	0.129015285508975	0
Control	0.653394056323641	0	0.0412642421819996	0.0520178723798492	0.0280602760152548	0	0.0709762497032002	0.154287303396056	0
Control	0.882057709597533	0	0.0147219196336597	0.0234283666763545	0.0137626055717891	0	0.0311966508134037	0.0261271113942375	0.00870563631302229
Control	0.79145417377711	0	0.0277034842183179	0.0403496726952346	0.0274495279789073	0	0.0604217143590057	0.0412562407489804	0.0113651862224443
Control	0.415405685444041	0.0310106486050481	0.0210438869799072	0.0547341788809008	0.0371887215692793	0	0.0912386033720867	0.349378275148737	0
