type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Breast cancer	0.131481362151222	0.036368995461046	0.0251346946028405	0.0272584537027226	0.0185185489601694	0	0.0385270277214844	0.722710917400515	0
Control	0.458903134702257	0	0.0729825962223099	0.0851849000069933	0.0533064015827198	0	0.107937476602765	0.201863462025543	0.0198220288574123
Control	0.105410644559611	0.021627266065562	0.00514125952173999	0.0065558544165708	0.00413475701092614	0	0.0452518281994979	0.811878390226093	0
Control	0.522642160568735	0	0.0649320035977616	0.08172452235643	0.0572311614922526	0	0.0803747433757191	0.188026726870831	0.00506868173827001
Control	0.603439433755985	0	0.0506083686014783	0.0662120226931715	0.0442288541587218	0	0.0600163997827787	0.175494921007865	0
Breast cancer	0.18751094043284	0.0294351003320377	0.0309113253567632	0.0345021358612076	0.0195376383263795	0	0.0440983531745392	0.654004506516233	0
Breast cancer	0.753584832841076	0	0.0382528134123835	0.052000905583338	0.0367157496123565	0	0.0474317401544914	0.071878191969695	0.000135766426660246
Control	0.601806319852681	0.159087028390494	0.0466378199555163	0.0657729733832433	0.0580092135349994	0	0.0398745599400185	0.0287469323135295	6.51526295185712e-05
Breast cancer	0.232325334908278	0.0581802983791578	0.0592307851740771	0.0732550946022366	0.0459829528813472	0	0.0854952195935486	0.445530314461355	0
Control	0.13668163482543	0.0174480639136331	0.00234420923402598	0.00642670266965509	0.00135160517594614	0	0.0629777081053113	0.772770076075998	0
Breast cancer	0.147445327442667	0.0266241132706651	0.0159891532744581	0.00608604578367914	0.0148472189693467	0	0.0365591801958353	0.752448961063348	0
Control	0.943060274618199	0	0.0121864220698869	0.0154712317345679	0.0143281495185043	0	0.00769762788033866	0.00725629417850374	0
Control	1	0	0	0	0	0	0	0	0
Breast cancer	0.25919706418095	0.0390127420046636	0.035220620128943	0.0523624049830685	0.0338923105921892	0	0.060574076701953	0.519740781408233	0
Control	0.0995548190073745	0.0241661458299578	0.0126660421528468	0.0129047346209269	0.0126261468771707	0	0.0238559955630236	0.8142261159487	0
Breast cancer	0.99561205280818	0	0.000819432424618828	0.00119643303293436	0.000764979881261064	0	0.00109579713234659	0.000361125185180297	0.000150179535479156
Breast cancer	0.897856829892725	0	0.016834587141992	0.0205939129278549	0.0162120666725069	0	0.0228206248783346	0.0256819784865866	0
Control	0.0627499742929544	0.0238342940250206	0.00788256148396326	0.00859509795949954	0.00747676516106168	0	0.0163364530245101	0.87312485405299	0
Control	0.426699378577264	0.0582660930910447	0.052865310656732	0.0726424295925878	0.0469579383995356	0	0.0804577666570016	0.262111083025835	0
Breast cancer	0.892218141673451	0	0.0184223516364493	0.0271278263247355	0.0205755124825593	0	0.0234982898243338	0.0143742022359339	0.00378367582253678
Control	1	0	0	0	0	0	0	0	0
Breast cancer	0.980165526890005	0	0.00318722158500915	0.00579671931433601	0.00486155899932728	0	0.00424967478177714	0.00161683877343642	0.000122459656109196
Control	0.403445230901554	0.0509677611792865	0.0657139011094903	0.0829283244174663	0.0560550189497369	0	0.108380584705316	0.23250917873715	0
Breast cancer	0.927605476774377	0	0.0122653364610595	0.0192107510371392	0.01365016911861	0	0.0171535554481446	0.00822959149901565	0.00188511966165428
Control	0.0792593281591831	0.0182046071886136	0	0	0	0	0.0152227706560628	0.88731329399614	0
Breast cancer	0.55062766210509	0.0619886809710129	0.0545520276740449	0.0727017306993863	0.0528156477294982	0	0.0727012855483561	0.134612965272612	0
Control	0.75533849158829	0	0.0456286999993884	0.0551180277670436	0.0383697035276681	0	0.0545503274060675	0.047912184609892	0.00308256510165
Breast cancer	0.209933969876538	0.0316718941510224	0.031076705288415	0.0280772403154271	0.0183005460447416	0	0.0261526838379855	0.654786960485871	0
Control	0.496017688315613	0.0198834261708829	0.0521833331753637	0.0695004350151354	0.0439722295145542	0	0.069330502953275	0.249112384855176	0
Breast cancer	0.0601942900335219	0.0141573944519645	0	0	0.0028339428940971	0	0.0172978759064821	0.905516496713935	0
Breast cancer	0.128005458543672	0.0442848961778472	0.020742370930898	0.0143529241927515	0.0126732400102903	0	0.041262274655678	0.738678835488863	0
Control	0.0989556297159479	0.0111944725668918	0	0	0	0	0.0263484807089694	0.863501417008191	0
Breast cancer	0.156912066400569	0.0430831103831774	0.0312107541025765	0.0305071966055722	0.0187180020844619	0	0.100784905260322	0.618783965163321	0
Control	0.328595692229352	0.0553225866479704	0.0442170385168347	0.0541709113846352	0.034462692216161	0	0.0693089105882114	0.413922168416835	0
Control	1	0	0	0	0	0	0	0	0
Breast cancer	0.680025119800387	0	0.0430242378986837	0.0611631204711595	0.0435588677169873	0	0.0613353843442877	0.110893269768495	0
Breast cancer	0.403924684715148	0.0398894160238747	0.0643829213752887	0.0843938909201281	0.0581187628910713	0	0.101038952149157	0.248251371925332	0
Breast cancer	0.180194193557604	0.0525537410025617	0.0273000953245599	0.0343771691275105	0.0209082121183176	0	0.0363482633350446	0.648318325534401	0
Control	0.388413251039504	0.0741843598287792	0.0412123535665466	0.0567677459909947	0.051657222787117	0	0.0797356615154359	0.308029405271623	0
Control	0.837055881087294	0	0.0271271018795335	0.038159386643989	0.0284046282681743	0	0.0293587959387063	0.03958379929006	0.000310406892242855
Breast cancer	0.309809615123174	0.0317220895267277	0.0451483398075814	0.0537192259442225	0.0359694446552147	0	0.0666902536295746	0.456941031313505	0
Control	0.869617616088952	0	0.0208154546585387	0.0291844685407825	0.0214548166063533	0	0.0295896444929063	0.0293379996124671	0
Breast cancer	0.287164609886703	0.052528564680732	0.0514280023760553	0.0612732132544695	0.0425694743904913	0	0.0611242159408491	0.4439119194707	0
Control	0.215915926343014	0.0533700698092132	0.0360934177322603	0.0383605937503249	0.0170673640184069	0	0.0689485353842395	0.570244092962541	0
Breast cancer	0.223765509175647	0.0389973162236043	0.0303710858132695	0.0381408306384892	0.0265626497636365	0	0.0570391363691275	0.585123472016226	0
Control	0.106440164076553	0.02326314844521	0.0540332677199657	0.0720969782565002	0.0544950242058555	0	0.123047269323385	0.566624147972531	0
Breast cancer	0.0924290747829228	0.0263578651643515	0.00722639539405549	0.00220989668735944	0.00583612976983143	0	0.0265644104807654	0.839376227720714	0
Control	0.453850672584058	0.000347459614829326	0.0556470209380195	0.0685100441159207	0.0468860857616815	0	0.0951982267702444	0.279560490215247	0
Breast cancer	0.346693475807498	0.0355347340964198	0.0598395964872652	0.0753457180321462	0.0575358892082885	0	0.0910016374727478	0.334048948895634	0
Control	0.368716435502996	0.0494722125254484	0.066217910577175	0.0729400626214759	0.0474907490233316	0	0.121479499478588	0.273683130270985	0
Breast cancer	0.792404583204902	0	0.0331049666472777	0.0422067779130221	0.0302061337318123	0	0.0454061044564961	0.0509835849763142	0.00568784907017532
