WID-BC-index (epithelial omitted)	WID-BC-index (immune omitted)	WID-BC-index (shared omitted)	type
-4.16589604365266	-1.57265230261547	-1.56845058411816	Control
-2.25990514349548	-1.65320620581272	-2.22299458476961	Control
-2.99162524012612	-1.2358029842829	-1.23064246060822	Control
-3.39078215161203	-0.906838659466738	-1.25950050672575	Control
-2.88217350455447	-1.26859963784227	-1.37740452700682	Control
-2.69094520268886	-2.13600842127197	-2.39095747949113	Control
-3.17268484187517	-1.89769887928454	-1.96848809868367	Control
-3.36895319694863	-1.18652224367413	-1.22062398777789	Control
-3.84883633734006	-1.36585652753553	-1.38692006246331	Control
-3.21813308030934	-1.78463541836898	-1.58919849149335	Control
-3.02925980423776	-1.76579251093492	-1.85743871664525	Control
-3.03857622942708	-1.88496213207883	-1.80563548890575	Control
-3.21202916249054	-1.93982551544614	-1.83392640731754	Control
-3.40512293101733	-1.38975342046976	-1.45656302247498	Control
-3.92182619595823	-1.19235909455142	-1.51761650019319	Control
-2.85769752444386	-1.21213082363413	-1.58964006002645	Control
-3.66288082018528	-1.70689215282921	-1.4722778760838	Control
-3.3942845646559	-1.33128184737117	-1.46146309922264	Control
-3.75954762066306	-1.4946864408868	-1.59902698515863	Control
-3.53850804129195	-2.18642973644594	-1.8205559765025	Control
-2.10515300386779	-0.954983102778746	-1.24338269417876	Control
-3.38321656734853	-1.37261452274096	-1.39999697615494	Control
-3.43032193634748	-0.90820508500057	-1.18680346103902	Control
-3.29549734870977	-1.30865930792069	-1.35746400344588	Control
-3.14349849607812	-0.711864867692122	-1.07725810743829	Control
-2.01931726295713	-1.87775257495693	-2.05404092281322	Control
-2.89750661387787	-2.00739069123248	-1.98569398066386	Control
-3.68987689595776	-1.929164837448	-1.74630066024318	Control
-3.32362385294984	-0.95994043756889	-1.0686203832869	Control
-3.89853229602592	-1.91434969742056	-1.73417753668939	Control
-3.98341273162563	-1.49291464699169	-1.47556153618227	Control
-3.30957460272309	-2.5024766602446	-2.45094388760304	Control
-3.36607776774249	-1.42541411444201	-1.554071654086	Control
-3.10171701457987	-1.51169749192582	-1.31562206809133	Control
-3.27473410327728	-1.18591465845355	-1.47417521717702	Control
-2.83504707253532	-1.45214834505289	-1.80583551689866	Control
-2.76576240622848	-2.59705848668029	-2.29282952146468	Control
-2.79423407982754	-1.4949113627102	-1.82019678424159	Control
-3.15980316305047	-1.34437735679766	-1.42278902734224	Control
-3.11250326910572	-1.94899733024015	-1.94961999601379	Control
-3.7298239282357	-1.3901456066571	-1.47774856348356	Control
-2.35833591404113	-0.684154573994051	-1.20193111534015	Control
-2.75450762988623	-3.16535746859699	-3.15538756284551	Control
-3.74577765813194	-2.00673331133661	-1.95827038468181	Control
-4.32040205825316	-1.66746134409396	-1.84493722915029	Control
