WID-BC-index (shared)	immune cell proportion	type
-1.4538974067555	0.841463381481329	Breast cancer
-1.65103692078816	0.895167983186833	Breast cancer
-0.736747014107844	0.913051692310297	Breast cancer
-1.21608581162519	0.196248818067083	Breast cancer
-1.74212774643946	0.900817952024864	Breast cancer
-1.16232773828672	0.0822142172838677	Breast cancer
-1.67126103461576	0.70249111087051	Breast cancer
-1.53993282865752	0.761572889505769	Breast cancer
-1.21266102721812	0.191714317363668	Breast cancer
-1.49618420980652	0.788868201727115	Breast cancer
-1.6557660882203	0.633673865220455	Breast cancer
-1.34709472646671	0.370153804989276	Breast cancer
-1.39234107715282	0.198513210593378	Breast cancer
-1.57034640491927	0.716708973533114	Breast cancer
-1.32273453292879	0	Breast cancer
-1.21847517016408	0.13050133972834	Breast cancer
-1.47562003497279	0.709140130187676	Breast cancer
-1.37628103632815	0.510468471046134	Breast cancer
-1.53798759475693	0.758457849046445	Breast cancer
-1.29745923234858	0.801528630980863	Breast cancer
-1.77848694265319	0.621696936688073	Breast cancer
-1.32309115963576	0.508644769077443	Breast cancer
-2.42976207840598	0.859397804315848	Breast cancer
-1.38490186229952	0.331073162121511	Breast cancer
-2.20700956632522	0.905008085176617	Breast cancer
-1.72254064782385	0.877321047551981	Breast cancer
-1.26637387416761	0.0917503934743297	Breast cancer
-1.48039750320877	0.965830612781344	Breast cancer
-1.35615827428042	0.176731890744715	Breast cancer
-1.59408385321431	0.955243770855506	Breast cancer
-1.5153083954014	0.816868567426134	Breast cancer
-0.905307057482301	0.146291503557454	Breast cancer
-1.65057146188574	0.887910395617495	Breast cancer
-1.21653783443681	0.364031906525859	Breast cancer
-0.800369472718781	0.101298013982943	Breast cancer
-1.8280081899982	0.747916365603024	Breast cancer
-1.56170089706657	0.829126724398139	Breast cancer
-1.45153119414537	0.172590091276271	Breast cancer
-0.765780247617953	0	Breast cancer
-1.70781818636546	0.630142160440609	Breast cancer
-1.08045455736739	0.0270167145253456	Breast cancer
