mode0	mode1	rho
0.0802348336594912	0.874755381604697	5.31
0.0547945205479452	0.792563600782779	3.05
0.0587084148727984	0.827788649706458	3.89
0.0626223091976517	0.847358121330724	4.49
0.0802348336594912	0.843444227005871	4.05
0.0743639921722113	0.870841487279843	5.26
0.0489236790606654	0.839530332681018	4.44
0.0567514677103718	0.85518590998043	4.92
0.0724070450097847	0.870841487279843	5.3
0.0782778864970646	0.87279843444227	5.26
0.0743639921722113	0.870841487279843	5.26
0.0567514677103718	0.859099804305284	5.1
0.060665362035225	0.849315068493151	4.6
0.0743639921722113	0.870841487279843	5.26
0.0802348336594912	0.87279843444227	5.21
0.0528375733855186	0.86105675146771	5.29
0.060665362035225	0.863013698630137	5.2
0.0626223091976517	0.863013698630137	5.15
0.0704500978473581	0.87279843444227	5.45
0.076320939334638	0.876712328767123	5.51
0.0684931506849315	0.839530332681018	4.11
0.0684931506849315	0.827788649706458	3.75
0.0684931506849315	0.835616438356164	3.98
0.0743639921722113	0.85518590998043	4.57
0.0743639921722113	0.86105675146771	4.81
0.0782778864970646	0.85518590998043	4.49
0.0802348336594912	0.85518590998043	4.46
0.0939334637964775	0.870841487279843	4.82
0.0919765166340509	0.882583170254403	5.42
0.0802348336594912	0.876712328767123	5.41
0.0782778864970646	0.86692759295499	4.98
0.0704500978473581	0.85518590998043	4.64
