WID-BC-index	days	type
1.7664770818374	38.78	Breast
1.47281933720416	29.85	Breast
1.4208305811313	12.08	Breast
1.81318566288188	20.95	Breast
1.56621868477151	34.84	Breast
1.43909517351328	28.8	Breast
1.52722038357535	10.84	Breast
1.32401508279409	66.02	Breast
1.79853574659483	84.98	Breast
1.52523945248176	89.12	Breast
1.62846258370383	17.93	Breast
1.52289908497877	9.91	Breast
1.44270737519828	92.8	Breast
1.53662989642716	117.14	Breast
1.61568205811794	29.18	Breast
1.55418191560628	50.83	Breast
1.73709990944794	16.93	Breast
1.53614689877376	59.98	Breast
1.36598360018635	37.09	Breast
1.61028795550106	75.12	Breast
1.54123781777292	60.98	Breast
1.44068077921712	70.04	Breast
1.36552336778784	106.04	Breast
1.42496512099188	110.85	Breast
1.96792672481822	125.89	Breast
1.43681273783585	62.02	Breast
1.69546071007927	57.16	Breast
1.73901097358195	77.99	Breast
1.3944321082504	78.98	Breast
1.57114151589031	37.09	Breast
1.42562990323522	62.98	Breast
1.56405436389127	66.03	Breast
1.59308361928793	33.92	Breast
1.5436330962221	56.16	Breast
1.47926015704954	40.92	Breast
1.45899783784739	40.85	Breast
1.38355226947656	28.85	Breast
1.37652661645928	16.05	Breast
1.39736816147722	15.99	Breast
1.648865870407	30.15	Breast
1.32364274158611	16.01	Breast
1.37766973768435	15.99	Breast
1.32901003935984	16.04	Breast
1.50281187005392	29.99	Breast
1.37667340415335	17.05	Breast
1.46893229451977	8.13	Breast
1.48777194156767	9.13	Breast
1.49087803369457	21.87	Breast
1.47989220628168	22.2	Breast
1.52909007173549	16.2	Breast
1.59717216884992	13.19	Breast
1.30395304424917	25.01	Breast
1.58597131820921	27.03	Breast
1.44884862365814	23.93	Breast
1.55400524065104	40.85	Breast
1.72106174163713	16.04	Breast
1.58230094294944	34.97	Breast
1.66222986313975	32.83	Breast
1.50680596945145	22.05	Breast
1.37776699792016	33.83	Breast
1.59277276519551	8.95	Breast
1.53622301657968	40.85	Breast
1.51743352588839	23.97	Breast
1.73235762923256	10.02	Breast
1.62448922774053	28.04	Breast
1.46925148315979	36.97	Breast
1.52842242074678	28.95	Breast
1.53863411208645	21.87	Breast
1.54787176803746	29.95	Breast
1.51441069040316	48.85	Breast
1.78117927094764	29.95	Breast
1.57399218676211	41.85	Breast
1.48547619204223	8.95	Breast
1.66205583818498	8.95	Breast
2.17430484176903	20.96	Breast
1.68335272329087	14.93	Breast
1.60726172645825	19.81	Breast
1.55743252816259	15.93	Breast
1.56753029070417	60.95	Breast
1.52036361146836	18.08	Breast
1.71691846077555	19.08	Breast
1.83610710127405	68.95	Breast
1.74492376440614	35	Breast
1.5808905602663	70.95	Breast
1.83760910420536	14.07	Breast
1.75338128809745	3.91	Breast
1.5044483014895	84.97	Breast
1.38904659058954	29.04	Breast
1.61856041829527	73	Breast
2.02793848455093	27.18	Breast
1.42752444134312	61.98	Breast
1.59250542827945	9.92	Breast
1.47175933881976	119.99	Breast
1.37014606116368	39.98	Breast
1.49599868602678	34.09	Breast
