type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Breast cancer	0.976225640621893	0	0.00406342186437999	0.00502851350656544	0.00317568161040877	0	0.00761008455722839	0.00297876067815647	0.00091789716136825
Breast cancer	0.742781449452668	0	0.0339115340342965	0.0398520003548773	0.0255852233916422	0	0.0441454370006852	0.101029261629743	0.012695094136088
Control	0.683242045303731	0	0.0411409809989593	0.047873804163765	0.0314779117999257	0	0.0409716017112395	0.15529365602238	0
Control	0.564022932162048	0	0.0395562774763752	0.0424505127557496	0.029460526063157	0	0.0464341589685277	0.278075592574142	0
Control	0.753161606116533	0	0.0361751749198307	0.0394935791527195	0.0227327493099702	0	0.0500543122763566	0.0929718757953143	0.00541070242927604
Control	0.871958016063406	0	0.0203156294799268	0.0258245032665208	0.016587452745372	0	0.0281874957224289	0.0296681894264348	0.00745871329591057
Control	0.800970987479933	0	0.0249939607316487	0.0315225441069453	0.0191801151765493	0	0.0374974346132475	0.0840423040164709	0.00179265387520554
Control	0.954142609694529	0	0.00798263593297018	0.00951192145599525	0.00590325695431853	0	0.0121833065928076	0.00820134506919937	0.0020749243001802
Breast cancer	0.600430668606806	0	0.0432290180137937	0.0472150094528919	0.0264062586552836	0	0.0621942387314291	0.218923923682145	0.00160088285765115
Breast cancer	0.95184033599596	0	0.00805343128629765	0.00927259675327554	0.00592274319515215	0	0.0137479972572587	0.00851901780276801	0.00264387770928796
Breast cancer	0.994979708243563	0	0.00101000959609408	0.00109359513931988	0.00065908011932276	0	0.00117878838632061	0.00078308580209283	0.000295732713286465
Control	0.977888350327307	0	0.003836146294472	0.00489599152838207	0.00344503227766078	0	0.00514767674166667	0.0039634830713696	0.000823319759141986
Control	0.610948822776357	0	0.0357699520151018	0.0419130496967975	0.0188481630106794	0	0.0788957347261436	0.213624277774921	0
Breast cancer	0.976423290005783	0	0.004335357808676	0.00476953732997817	0.00232162279865041	0	0.00688109823801545	0.00419937212375903	0.00106972169513811
Breast cancer	0.850481943736878	0	0.0235652727115972	0.0275674644050282	0.0191182450857539	0	0.0329236941425887	0.0403399792774015	0.00600340064075308
Control	0.504637858755623	0	0.0383580441629524	0.041952996375357	0.0195520755556662	0	0.0631549103445602	0.332344114805841	0
Control	0.992433102081018	0	0.00129144691894108	0.00175738086530738	0.000963422868546363	0	0.00212828975066631	0.00111803649839418	0.000308321017127169
Breast cancer	0.863701133960438	0	0.0206303877738829	0.025618246013367	0.0158538587862366	0	0.0273561212900927	0.0380917311538036	0.00874852102217925
Control	0.664313800384036	0	0.0401721766385766	0.0471140309592449	0.0276211681795355	0	0.0523852264523089	0.163595118407007	0.00479847897929121
Control	0.588621089954675	0	0.0373467868093337	0.0420802332239628	0.0254819883018416	0	0.0533916659448008	0.253078235765386	0
Breast cancer	0.665911016632316	0	0.0400253249889591	0.0471288772676644	0.025598144434168	0	0.0454169237093155	0.175919712967577	0
Breast cancer	0.84203057801086	0	0.0203717896160985	0.0280562219832285	0.0156914569891621	0	0.0350314302847874	0.0519765607478592	0.0068419623680042
Control	0.878127161227357	0	0.0180044249593357	0.0230304734283018	0.0117379073002442	0	0.0303827874394357	0.0310368673317689	0.00768037831355685
Breast cancer	0.455107309695467	0	0.0293331695697058	0.036593452442065	0.0188774981816817	0	0.0462741643064901	0.41381440580459	0
Control	0.620500597849973	0	0.0366662435955872	0.0445168244219673	0.0327905251362257	0	0.0524907283390766	0.21303508065717	0
