WID-BC-index (immune)	immune cell proportion	type
-1.6670602254543	0.955243770855506	Breast cancer
-1.52130755457866	0.816868567426134	Breast cancer
-1.30426677506349	0.146291503557454	Breast cancer
-1.86498607694078	0.887910395617495	Breast cancer
-1.66927415021453	0.364031906525859	Breast cancer
-1.24462027322758	0.101298013982943	Breast cancer
-1.9374790200128	0.747916365603024	Breast cancer
-1.84654129973443	0.829126724398139	Breast cancer
-1.36993832794097	0.172590091276271	Breast cancer
-1.19352867945002	0	Breast cancer
-1.64303082298072	0.630142160440609	Breast cancer
-1.29098834057608	0.0270167145253456	Breast cancer
-1.32717217791333	0.223901751619982	Breast cancer
-1.60972700552726	0.530829199985023	Breast cancer
-1.9601176973434	0.930164533563664	Breast cancer
-1.4620917998827	0.356638901480717	Breast cancer
-1.49650698785109	0.411413453471446	Breast cancer
-1.30897643600158	0.284793706482141	Breast cancer
-2.05506969495346	0.842759985789898	Control
-1.5913854605925	0.171087763129129	Control
-2.01036724916214	0.740280195214543	Control
-2.08084716257767	0.764389664290557	Control
-1.41484676122619	0.0116472039002767	Control
-1.49323235822572	0.396439571725659	Control
-1.87172199943552	0.693002874761634	Control
-1.49548919685951	0.276189726546185	Control
-1.47294713045401	0.207153258172182	Control
-1.62173703063715	0.429813887875932	Control
-1.70152747052619	0.316485646036089	Control
-1.93494993613392	0.782952748660713	Control
-1.51134807671686	0.380639708598416	Control
-1.56045300497404	0.211549407561309	Control
-1.479624793127	0.0434724121658983	Control
-1.55306502718097	0.320278618888269	Control
-1.73596626651127	0.605372251975784	Control
-2.1235418008	0.861542543386296	Control
-1.61760338041809	0.378765650360322	Control
-1.71413327171993	0.32489456291855	Control
-1.76223290825368	0.409934572469189	Control
-1.93194408246745	0.897438348602038	Control
-1.58631714067426	0.227626849831434	Control
-1.1967762976339	0.0322922749775699	Control
-1.70529951038126	0.671579422158687	Control
-1.85446015619297	0.88341543877591	Control
-1.67215102211748	0.781176930639323	Control
-1.75444586791215	0.896065256684654	Control
-1.09780280540671	0	Control
-1.43790495165462	0.187470600365606	Control
-1.75350635937647	0.336784966004738	Control
-1.71615189933393	0.557420856528205	Control
-1.85918006764737	0.438661437071053	Control
-1.98302981040811	0.718491257016994	Control
-1.62902091504076	0.230674411760649	Control
-1.74736765369324	0.593084535529992	Control
-1.45282079537269	0.607561760102329	Control
-1.78149733100037	0.46851006658263	Control
-1.59436712219054	0.303258484280692	Control
-1.23076672050643	0.0380384665474442	Control
-1.55975975067946	0.291287110444853	Control
-1.61910741679753	0.511629688809222	Control
-1.55656296743968	0.412557856961349	Control
-1.90871344253108	0.688876694059585	Control
-1.43805622769361	0.133327403044873	Control
-1.37226886206738	0.0225721567255146	Control
-1.84865736573857	0.49332077192101	Control
-2.24893897165474	0.767342822151489	Control
-1.42065818763906	0.527349590996378	Control
-2.02029714611056	0.780887222238954	Control
-1.87068568447737	0.218480123660323	Control
-1.58480377424961	0.298068417174764	Control
-1.32986092570397	0.0957575040048044	Control
-1.30443663315204	0	Control
-1.61039486137379	0.500191824241061	Control
-1.61210406166504	0.505559391544447	Control
-1.4499610540712	0.265997075665284	Control
-1.61362891393971	0.329343948535364	Control
-1.62794732634868	0.285806931499674	Control
-1.80039887230116	0.621443517426179	Control
-1.34420876973254	0.386140111980881	Control
-1.58615794013971	0.401061698859773	Control
-1.88672281723502	0.730862251719786	Control
-1.4851049839568	0.159752462169268	Control
-1.39613567142891	0.332070032917269	Control
-2.16591813279742	0.869714081878026	Control
-1.54079377770473	0.39650661434143	Control
-1.46285461782703	0	Control
-1.90500760244511	0.524463071788568	Control
-1.51422013702442	0.399136377064087	Control
-1.49834111133614	0.396706096938621	Control
-1.75681720475631	0.873649249915559	Control
-1.44796377085952	0.0189227286209378	Control
-2.20201027253374	0.836446403407183	Control
-1.43677350427373	0.0649539197642253	Control
-2.15439035223739	0.681801475444771	Control
-1.41144037502791	0.258596532367172	Control
-1.39917059729856	0.185229479594749	Control
-1.81504183303368	0.823922139807978	Control
-1.98280615790599	0.780870286767516	Control
-1.37628799481848	0.481217036313079	Control
-1.36125778652841	0.0650967115185468	Control
-1.76823175738001	0.3727910118697	Control
-1.55458806430889	0.489700597782827	Control
-1.56892329983845	0.254718300514008	Control
-1.55630791065611	0.273090872937147	Control
-1.64801895590386	0.317123068153718	Control
-1.6725560842775	0.527872711312284	Control
-1.42310376503266	0.0618543208183548	Control
-1.8649160098196	0.885492238963624	Control
-1.92242262907076	0.635381113692984	Control
-1.76590520691666	0.327899541310496	Control
-1.71445039751979	0.588344341482295	Control
-1.63299912091205	0.67592485189114	Control
-1.6963909871219	0.557196259538899	Control
-1.28898248054079	0.0723247796813098	Control
-1.5508400792747	0.500492535023838	Control
-1.23322543529498	0.609472423098043	Control
-1.59405207250043	0.293289896767329	Control
-1.2648377377408	0.0523903348772586	Control
-1.81414935934498	0.82857903242168	Control
-1.52904767786235	0.425737464620145	Control
-1.56455946674797	0.367705985319592	Control
-1.83129420916629	0.591218745989829	Control
-1.75766336669154	0.644994179307145	Control
-1.8622328829007	0.704369573988269	Control
-1.75906718041894	0.536477320872839	Control
-1.30946488104866	0.229312451289003	Control
-1.84570356557616	0.624839898681968	Control
-1.53282485119029	0.280532207880095	Control
-1.75262969757171	0.393420393934606	Control
-1.86239325346656	0.930578867739542	Control
-2.422167788132	0.747302136017937	Control
-1.84572680133561	0.806502318633003	Control
-1.86904402613751	0.574548762500673	Control
-1.49749117947812	0.0871633624916182	Control
-1.7786734194621	0.542883912334965	Control
-1.89802383414413	0.91532866126003	Control
-2.09241013587564	0.660025154483864	Control
-1.52814864842136	0.252896123891394	Control
-1.19643348356997	0.00819679709128974	Control
-1.9334173387595	0.697726509637593	Control
-1.51813158392527	0.442897028868669	Control
-1.8176385622728	0.590370831145334	Control
-1.80069192674037	0.647290649207027	Control
-1.32805685724963	0.349650101101191	Control
-2.03573370574801	0.834684192395077	Control
-1.974514572624	0.812842892265052	Control
-1.43907188828428	0.0931851055044406	Control
-2.01547554399231	0.771158775185656	Control
-1.71525977822887	0.538624558006589	Control
-1.92101293147809	0.801175435178861	Control
-1.40359594542113	0.306372397870587	Control
-1.64897099587968	0.622972331348823	Control
-1.80729348473658	0.571646054082061	Control
-1.78949130434764	0.786952445457607	Control
-2.03341859438425	0.73721637540657	Control
-1.49529997038881	0.461898675436326	Control
-1.6746375710704	0.590135486942923	Control
-1.72195596336396	0.655902672221621	Control
-1.80573887754578	0.619923305291235	Control
-1.84903175155276	0.589005370309697	Control
-1.49858123551005	0.225031881642743	Control
-1.90659639463689	0.66970647831041	Control
-1.64167730738069	0.616255478740708	Control
-2.0979520420282	0.930384342320581	Control
-2.03311174023612	0.723163823890773	Control
-1.85073099853518	0.456219467731442	Control
-1.483754927833	0.204833609730284	Control
-2.20727451595176	0.936397401039487	Control
-1.26334402924613	0.0201739345062094	Control
-1.90017019937952	0.733952345572886	Control
-1.39969088556328	0.140597144557038	Control
-2.10243007518403	0.816884825474407	Control
-1.79292890928637	0.519990934013848	Control
-2.34320893696959	0.723226643474699	Control
-2.16358741328273	0.710784584429395	Control
-1.7450500059934	0.506946792807666	Control
-1.75926088651296	0.337649691856884	Control
-1.4027570687255	0.147107512449594	Control
-1.60678194489575	0.272419108226666	Control
-2.12091174859377	0.909511085200214	Control
-1.7042991953533	0.49630724899088	Control
-1.45086992833631	0.331929468179373	Control
-1.53958514515646	0.289419486270964	Control
-1.72427906192145	0.44085044704544	Control
-1.56219983745273	0.31586385759233	Control
-1.66570150905735	0.360652999614754	Control
-1.29510024641393	0.362575772957703	Control
-1.85467662246696	0.608806332363727	Control
-1.40037431821848	0.255725002394333	Control
-1.82523089366593	0.750458788668301	Control
-1.53192911003631	0.281052146333983	Control
-2.35654332198791	0.904535291748073	Control
-2.30626830254162	0.77722028806649	Control
-1.42336414466798	0.180430943190515	Control
-1.74046247334263	0.588369486604332	Control
-1.55490613803159	0.133964571672774	Control
-1.62526821586931	0.326041427339468	Control
-2.56101552666043	0.949226443959853	Control
-2.10407581882845	0.844126675281769	Control
-2.02028283304293	0.762621916218109	Control
-1.79845464741844	0.70654778702096	Control
-1.94062789076887	0.565549524125522	Control
-2.15147866953324	0.80307809717627	Control
-1.77432070389424	0.477419997967582	Control
-1.97942077367616	0.77079831702073	Control
-1.33586821754368	0.0621923326522515	Control
-1.7986599921489	0.495010925984416	Control
-1.73026985785874	0.473569293479212	Control
-2.01718666674209	0.709436717965655	Control
-1.56049873671284	0.46874610359385	Control
-1.57942170383038	0.181196483148904	Control
-1.42500163036283	0.173381990389864	Control
-1.25745883896707	0.0852030046196792	Control
-2.06908459097127	0.799086418429137	Control
-2.22693901796872	0.805155876902799	Control
-1.80046985149944	0.610353531220508	Control
-1.63015612647268	0.464294721484174	Control
-1.95009696580641	0.764959402214765	Control
-1.29523015106997	0.0407798001874145	Control
-1.28117923890858	0.132189049613148	Control
-1.61156280086387	0.521901998756314	Control
-1.37471794092012	0.189390198391365	Control
-1.33524681535761	0.0385379586091897	Control
-1.55451706340971	0.15035232719577	Control
-2.0831858152661	0.876666699646005	Control
-1.37921212150119	0.155360004677683	Control
-1.68049543974855	0.393377508519078	Control
-1.99360454668394	0.886402523604957	Control
-1.69122455409881	0.629004436046163	Control
-1.33024442528327	0.0501699227560971	Control
-1.99524203582065	0.950222813381036	Control
-1.75186555102999	0.677374049509858	Control
-1.74326593526165	0.668661825737566	Control
-1.53472573274757	0.156173649325097	Control
-2.01736077461287	0.772829566849181	Control
-1.37437363342755	0.230177759303786	Control
-1.97454609640199	0.646247677075018	Control
-2.27482217834197	0.865434735547675	Control
-1.55049049051269	0.572911006339433	Control
-1.51703823443739	0.343492657157669	Control
