WID-BC-index	immune cell proportion	type
-1.663526403436	0.273635537309299	Control
-1.42268843519384	0.258332809439482	BRCA2
-1.63843051126723	0.378101095056982	BRCA2
-0.89573766141542	0.277591099388804	BRCA2
-0.511797700133087	0.265501506372679	Control
-1.14539237928559	0.218984052353916	BRCA2
-0.548388539745248	0.645879892668287	Control
-1.23820457830328	0.407153295578748	Control
-1.57013679302853	0.235986811829261	BRCA2
-1.31309225495945	0.625620159085639	Control
-1.3380237465457	0.246650391359818	BRCA2
-1.20102217307547	0.0682949737567776	Control
-0.98532848214326	0.191912908251727	Control
-1.41643108504149	0.103567949593629	Control
-1.6779215825868	0.206278474194111	BRCA2
-0.935655927385018	0.210084710925686	BRCA2
-1.00421366202802	0.0995802600576692	Control
-1.28844603847375	0.545134945175069	Control
-0.734433109771078	0.249366807834738	Control
-1.19367455081272	0.419363261084692	BRCA2
-1.64641319470065	0.482470535964923	Control
-1.54621449903063	0.443826307834535	Control
-1.2447536006473	0.0408764850844352	BRCA2
-0.954221085520387	0.291902764770028	Control
-1.49641396885528	0.049484071659021	Control
-0.419328595840832	0.636147497362548	BRCA2
-1.18595463057247	0.172633264051033	Control
-1.40103899849572	0.599425917879854	Control
-0.266474181735761	0.192588471662163	Control
-1.72614099120386	0.314143220877116	Control
-1.62286114673926	0.110132205291768	Control
-1.62304441301719	0.225969658906924	Control
-1.39485514717529	0.437187296554027	Control
-1.89379726650813	0.487691608549388	Control
-1.6212018104624	0.314927480922937	BRCA2
-1.74900824971834	0.296453330649071	Control
-1.29048531301263	0.51873368536698	Control
-0.744943135856143	0.797815339532562	Control
-1.34302284357294	0.568750978231651	BRCA2
0.0392798962651768	0.619906977088142	Control
-1.52242036274611	0.253932996974481	Control
-1.84578185108992	0.504669035087302	Control
-1.49284668518883	0.427170098856958	BRCA2
-1.3004532241196	0.04720927114666	Control
-1.12023716056848	0.36054594471578	BRCA2
-1.59736388233162	0.305798749764709	Control
-1.17632630450551	0.420534242472801	Control
-1.31123211963226	0.617715511330536	Control
-1.72504712426014	0.38729171761928	Control
-0.824708455739533	0.632255621772284	Control
-0.847356562476912	0.282259040077736	Control
-1.96063860339395	0.426500342940639	Control
-2.08856224842019	0.0310112975483938	Control
-1.85136741756022	0.126003148320258	Control
-1.71387145677415	0.380925855265838	BRCA2
-0.913285442769253	0.0824692126129422	Control
-1.57633614901024	0.575767159069342	Control
