mode0	mode1	rho
0.0410958904109589	0.892367906066536	7.91
0.0430528375733855	0.894324853228963	8.02
0.050880626223092	0.904109589041096	8.68
0.0469667318982387	0.89041095890411	7.46
0.0587084148727984	0.886497064579256	6.67
0.0587084148727984	0.886497064579256	6.67
0.0645792563600783	0.900195694716243	7.57
0.060665362035225	0.900195694716243	7.75
0.0587084148727984	0.904109589041096	8.24
0.0587084148727984	0.900195694716243	7.84
0.0547945205479452	0.896281800391389	7.65
0.060665362035225	0.896281800391389	7.38
0.0626223091976517	0.886497064579256	6.53
0.0587084148727984	0.904109589041096	8.24
0.0665362035225049	0.906066536203523	8.05
0.0587084148727984	0.906066536203523	8.46
0.060665362035225	0.894324853228963	7.21
0.0684931506849315	0.902152641878669	7.57
0.0469667318982387	0.900195694716243	8.44
0.0450097847358121	0.886497064579256	7.2
0.0547945205479452	0.898238747553816	7.84
0.0528375733855186	0.89041095890411	7.21
0.050880626223092	0.898238747553816	8.03
0.0567514677103718	0.89041095890411	7.05
0.0567514677103718	0.886497064579256	6.74
0.0684931506849315	0.888454011741683	6.46
0.060665362035225	0.89041095890411	6.89
0.0587084148727984	0.900195694716243	7.84
0.0469667318982387	0.896281800391389	8.02
0.0450097847358121	0.906066536203523	9.28
0.0626223091976517	0.911937377690802	8.93
0.0587084148727984	0.909980430528376	8.93
0.0528375733855186	0.909980430528376	9.29
0.050880626223092	0.898238747553816	8.03
0.0410958904109589	0.900195694716243	8.78
0.0430528375733855	0.892367906066536	7.82
0.050880626223092	0.913894324853229	9.99
0.0469667318982387	0.898238747553816	8.23
0.0430528375733855	0.898238747553816	8.44
0.0391389432485323	0.902152641878669	9.14
0.0528375733855186	0.913894324853229	9.85
0.0450097847358121	0.915851272015656	10.78
0.0587084148727984	0.868884540117417	5.55
0.0684931506849315	0.88454011741683	6.2
0.0821917808219178	0.880626223091976	5.57
0.076320939334638	0.880626223091976	5.73
0.0724070450097847	0.882583170254403	5.95
0.076320939334638	0.882583170254403	5.84
0.0704500978473581	0.886497064579256	6.26
0.060665362035225	0.829745596868884	3.92
0.0587084148727984	0.843444227005871	4.41
0.0724070450097847	0.85518590998043	4.6
0.0587084148727984	0.85518590998043	4.88
0.0528375733855186	0.87279843444227	5.94
0.0528375733855186	0.892367906066536	7.38
0.0645792563600783	0.902152641878669	7.75
0.050880626223092	0.886497064579256	6.96
0.0450097847358121	0.888454011741683	7.37
0.0489236790606654	0.900195694716243	8.34
0.0450097847358121	0.892367906066536	7.73
0.060665362035225	0.892367906066536	7.05
0.060665362035225	0.89041095890411	6.89
0.0587084148727984	0.892367906066536	7.13
0.0626223091976517	0.896281800391389	7.3
0.050880626223092	0.882583170254403	6.66
0.0547945205479452	0.896281800391389	7.65
0.0547945205479452	0.89041095890411	7.13
0.0567514677103718	0.896281800391389	7.56
0.0665362035225049	0.896281800391389	7.14
0.0528375733855186	0.904109589041096	8.56
0.0469667318982387	0.894324853228963	7.83
0.0489236790606654	0.904109589041096	8.79
0.0489236790606654	0.906066536203523	9.03
0.0567514677103718	0.909980430528376	9.05
0.050880626223092	0.906066536203523	8.91
0.0645792563600783	0.909980430528376	8.58
0.0430528375733855	0.874755381604697	6.37
0.050880626223092	0.902152641878669	8.45
0.0626223091976517	0.900195694716243	7.66
0.0547945205479452	0.900195694716243	8.03
0.050880626223092	0.902152641878669	8.45
0.050880626223092	0.900195694716243	8.23
0.0469667318982387	0.894324853228963	7.83
0.0547945205479452	0.898238747553816	7.84
0.0528375733855186	0.892367906066536	7.38
0.0371819960861057	0.89041095890411	7.91
0.0391389432485323	0.894324853228963	8.22
0.0410958904109589	0.896281800391389	8.33
0.0450097847358121	0.898238747553816	8.33
0.0528375733855186	0.908023483365949	9.04
0.0450097847358121	0.902152641878669	8.78
0.0410958904109589	0.894324853228963	8.12
0.0469667318982387	0.913894324853229	10.29
0.050880626223092	0.902152641878669	8.45
0.050880626223092	0.917808219178082	10.62
0.050880626223092	0.921722113502935	11.33
0.050880626223092	0.898238747553816	8.03
0.0489236790606654	0.908023483365949	9.29
0.0587084148727984	0.913894324853229	9.44
0.0469667318982387	0.908023483365949	9.42
0.0567514677103718	0.919765166340509	10.47
0.0528375733855186	0.909980430528376	9.29
