type	WID-BC-index	WID-BC-index w/o mQTLs
Control	1.37542071282143	2.14406407937689
Control	-0.539182294216501	-0.693928832741528
Breast	0.7780960690208	1.28656668617369
Control	-0.600162259421691	-0.757227657607619
Control	-0.268402225689505	-0.249603417295847
Breast	1.01190162467518	1.60209237295474
Control	0.748479063986487	1.20442384829607
Control	-0.436780914274578	-0.520772373949764
Breast	0.251276790945663	0.520874609442356
Breast	0.681763416946981	1.12929187651706
Control	-0.469126282698974	-0.533145650967734
Breast	0.439716768085054	0.798317616234159
Breast	-0.478616928446376	-0.555423363034163
Control	0.81855051819537	1.30858962797991
Breast	-0.334239811904789	-0.406467198011233
Control	-0.509597013553895	-0.59061399812831
Breast	-0.231124647761521	-0.214372964299201
Control	-0.534029493144209	-0.608494632613708
Breast	0.699347416083979	1.09929956003276
Control	1.27416575547436	1.97237036441305
Control	-0.0173799188564609	0.0365778013559607
Breast	0.015385546280431	0.125260004203038
Control	0.979925803048605	1.57818417302933
Breast	-0.252544933072008	-0.20959760795373
Control	0.0960573336472332	0.202939322463634
Breast	-0.208157654655452	-0.163336027929673
Control	-0.789727307634748	-1.05408399984108
Control	-2.08507334387996	-2.91081884553081
Control	-0.362060350952057	-0.372173303921794
Control	-0.00198378446249914	0.0974500176024602
Control	-0.400116228056965	-0.449192208392381
Control	-1.31189699258042	-1.74508242507941
Control	0.0329884692938947	0.137334247341375
Control	-0.908066795153153	-1.1923097096558
Control	0.456602414634543	0.845605582199333
Breast	0.0312183417767311	0.128430979052833
Control	0.193514341928614	0.377508993653382
Breast	0.628039104842552	1.08957665460483
Control	0.00650871238904396	0.155019506865383
Control	-0.911948026070044	-1.14178783547858
Breast	-0.313781485579584	-0.345782926868552
Breast	-0.170701215863577	-0.177496119850483
Breast	1.22721485309488	1.92208297906687
Breast	0.622800804095273	1.01438886189352
Control	-0.314042956397716	-0.333808620293518
Breast	0.332039166710519	0.592200299459471
Breast	0.536961569441697	0.898904629630945
Control	-0.473377098743224	-0.564656317048308
Control	0.213724888153521	0.448661670986139
Control	-0.908710306195637	-1.19159272178516
Breast	0.383469039374096	0.660471225038479
Control	-0.617145261533889	-0.73398564660547
Control	-1.30973322535487	-1.75676598636749
Control	-1.08359093711237	-1.42512482409762
Breast	-0.0603465232546978	0.0586058899150187
Breast	0.159445256014678	0.297394927288663
Control	-0.765760703296541	-0.994747307965946
Breast	0.852841129704134	1.38185637845265
Control	0.13287117587168	0.25127840764377
Breast	0.486513215498555	0.857203919429576
Control	-0.571758981705353	-0.755481527951471
Control	-0.147202458918488	-0.115807709922721
Control	-1.97362688345894	-2.76182056234637
Breast	0.774071888287364	1.19718521012321
Control	-1.59915790774818	-2.17812536708239
Control	-0.362226381386835	-0.431594271366079
Control	0.955861464309223	1.51201158207447
Control	-2.11874528799599	-2.96591834521339
Control	0.316296447882638	0.524936170228527
Control	-0.351232942141795	-0.360336207021063
Control	-0.0781415436979515	0.0915417971603464
Control	-0.031828502321828	0.0765601584301196
