cg15698548	immune.cell.proportion	type
0.698986803401948	0.75383665691759	Control
0.791282834880319	0.759006467840207	Control
0.351293070733237	0.185988851667173	Control
0.708649269171597	0.611807649978718	Control
0.810384873294458	0.71526847802295	Control
0.452594305655513	0	Control
0.604530091567114	0.389922735176015	Control
0.248131291694519	0.286863818918038	Control
0.931656420639804	0.928607825469346	Control
0.2731132608368	0.108023665069117	Control
0.437038407991649	0.329216293096754	Control
0.742931383245746	0.75589125633654	Control
0.543049809901617	0.479723762878987	Control
0.836629872041483	0.76919285562322	Control
0.616532257945894	0.595488709244259	Control
0.168917508552807	0.167221082804624	Control
0.900893297209415	0.876897929529198	Control
0.780602313904514	0.778254248806625	Control
0.900941608374548	0.884130843630444	Control
0.755160465741129	0.718156936962706	Control
0.935329294710805	0.872700554126374	Control
0.731878680079512	0.478846444239674	Control
0.864125280402817	0.775267901531973	Control
0.829100008448182	0.813400418292946	Control
0.480623552333126	0.283093237227094	Control
0.561725282403093	0.0163866665425176	Control
0.838391205229676	0.918981714768314	Control
0.472116716533944	0.264223085595535	Control
0.824734350883474	0.708354889075352	Control
0.853886150768593	0.825986646706844	Control
0.820065721573898	0.793291712695712	Control
0.712564843440025	0.774981958800353	Control
0.859810517958677	0.871353895237061	Control
0.797133476302223	0.643474364182085	Control
0.654063968531525	0.543500422092276	Control
0.859411003816729	0.848419169969003	Control
0.888018039001935	0.859605015174803	Control
0.905512173290228	0.912086400925586	Control
0.743976992553622	0.717688396695874	Control
0.924386602729132	0.788386320810463	Control
0.698736937764965	0.633727726196739	Control
0.378734471097482	0.166479401095122	Control
0.880535324695762	0.839326332510429	Control
0.845148811936338	0.686531137368873	Control
0.918417207738733	0.887437525010383	Control
0.268712630021007	0.0430201675662833	Control
0.602391256895377	0.507299082596456	Control
0.551245110937829	0.450247453237092	Control
0.865928158383738	0.789715307701995	Control
0.166655112880773	0.0382561848690736	Control
0.696920794957687	0.502200228117165	Control
0.575749302407271	0.212597819452175	Control
0.830195657635469	0.721379986743617	Control
0.241096418303919	0	Control
0.885664230423949	0.891788212042705	Control
0.263121018550519	0.0160681802819317	Control
0.356556109186952	0.307539037917048	Control
0.919324375641342	0.923815046015023	Control
0.893363573032875	0.893432319130933	Control
0.349803199885607	0.371864988221571	Control
0.736595679550255	0.527489302397542	Control
0.890952367513731	0.889653287113018	Control
0.335490421680717	0.23669836552764	Control
0.673519746628235	0.517890996395912	Control
0.733781003548467	0.497577370169604	Control
0.674223036426117	0.545349707008157	Control
0.894359225672785	0.788677338100124	Control
0.244787718924422	0	Control
0.724660140600218	0.654642032554497	Control
0.161904036731571	0	Control
0.717539539755584	0.737697028351705	Control
0.545894489453523	0.408450939479818	Control
0.853186836226687	0.664072497497792	Control
0.393736582319699	0.132910237830896	Control
0.317474792466334	0.243700731865079	Control
0.848314693996707	0.901983225181158	Control
0.364688923553361	0.129205382070788	Control
0.416122555087815	0.110266369466678	Control
0.552167985981915	0.380075304398348	Control
0.695616309442405	0.602337166675551	Control
0.821105717873281	0.737396676850563	Control
0.674769636692965	0.5003713722839	Control
0.918819333111858	0.935475938260292	Control
0.860167287995051	0.857503925491609	Control
0.896395844543598	0.883942887361732	Control
0.666316862791845	0.510996219605747	Control
0.657361298735399	0.621429575158792	Control
0.361843827187677	0.101163354925825	Control
0.89513327754781	0.886806376288773	Control
0.84145354444689	0.885186371258533	Control
0.751238912518131	0.612187341115444	Control
0.543008863376785	0.442121254555361	Control
0.868738264097219	0.92474850477456	Control
0.640707390760918	0.607129858950968	Control
0.847202455511465	0.761884362242391	Control
0.299806854135566	0.284386189766543	Control
0.842674920025548	0.795034840695053	Control
0.724050949786606	0.475470030280347	Control
0.324974368066737	0.28571813604748	Control
0.600936639507644	0.536077426316324	Control
0.933270160326036	0.964340454924636	Control
0.906357758102821	0.939097331818559	Control
0.295270002921068	0.120368888637269	Control
0.785855782670984	0.849781080284927	Control
0.514201250078874	0.398928655460508	Control
0.142415647126512	0.0203284819861643	Control
0.353538965685592	0.16429947589134	Control
0.83740070711037	0.802161461676181	Control
0.919746960544184	0.943941789410358	Control
0.328785823146983	0.394044185976684	Control
0.717998096545226	0.653477923425837	Control
0.481431358401332	0.303821020076049	Control
0.721121591975264	0.705992601664635	Control
0.305568283185383	0.374405380615904	Control
0.71073521670117	0.715758513862333	Control
0.447393632497815	0.115028686706331	Control
0.174870773828843	0.0856054308929208	Control
0.370082503716784	0.138440622889538	Control
0.750239767156381	0.655017096815735	Control
0.338990646165088	0.0533894182965241	Control
0.740601432170916	0.77759447134067	Control
0.868004723556155	0.820385633970459	Control
0.455083538240569	0.146214087757726	Control
0.903899478421958	0.892773691500571	Control
0.183771395988159	0.117012495441988	Control
0.650312001149324	0.574330836949321	Control
0.841151904831523	0.773510412015923	Control
0.549791247631336	0.408130720934821	Control
0.255889827485509	0.161259639578924	Control
0.067239868414995	0.0309933512355743	Control
0.728656481688892	0.575875409431051	Control
0.82156290546538	0.779102749217326	Control
0.101163234730752	0	Control
0.499942140575205	0.401515033094998	Control
0.302209039284086	0.136881345089504	Control
0.905121332001468	0.959773720107914	Control
0.756986783082101	0.68950277954784	Control
0.812073810404011	0.737886565311105	Control
0.808546456051497	0.763035342977286	Control
0.805886129625712	0.706860409845666	Control
0.797279097306001	0.715342996315412	Control
0.307373355485386	0	Control
0.770339775202821	0.676216840056854	Control
0.39325975195389	0.291765019858215	Control
0.797016604170959	0.693044993994625	Control
0.863351332109897	0.907062506504671	Control
0.802462816887332	0.720759401104258	Control
0.825287037826812	0.682782443596125	Control
0.854356939645902	0.782329459144788	Control
0.781690668987674	0.707686034170324	Control
0.460191752100256	0.33512836356721	Control
0.477028574022302	0.455688790092595	Control
0.846575476644129	0.739174976719985	Control
0.808314332705438	0.742978398227204	Control
0.913387688241029	0.957511416977078	Control
0.365931582250822	0.0869993315484401	Control
0.563987160785576	0.418166870401005	Control
0.774781475414311	0.717172585039263	Control
0.452579322039872	0.338865052645013	Control
0.447447780170849	0.467874388682897	Control
0.726283827559245	0.710722532005781	Control
0.331965194282572	0.0299968698144986	Control
0.334980263646222	0.081070696921732	Control
0.738107204747806	0.60504845471578	Control
0.513946097094693	0.386900011804153	Control
0.456371825746929	0	Control
0.910655768198027	0.893855648518432	Control
0.801253119277195	0.604364032629495	Control
0.602662828548516	0.604249478059309	Control
0.526598217347111	0.263669250059178	Control
0.71328939221348	0.641430997332318	Control
0.529423890985104	0.0778575156265164	Control
0.829429234415373	0.734651051120772	Control
0.872783104580107	0.913757070236633	Control
0.673236343140504	0.566604104628065	Control
0.450863042582677	0.377566592416272	Control
0.542758891555085	0.254149569608835	Control
0.194952444068723	0.101469411576978	Control
0.764684453461197	0.728852848395477	Control
0.110166077222174	0	Control
0.880617283796568	0.839589354859862	Control
0.918974489434331	0.817356981013897	Control
0.793600207610842	0.701918519575447	Control
0.672183204290175	0.592886283028121	Control
0.6050324645099	0.503161104959228	Control
0.227315733839098	0.015393167672051	Control
0.796388565023213	0.752307837168632	Control
0.440472079572518	0.149124314430035	Control
0.576644478768898	0.540468385409675	Control
0.390726596483913	0.128717681181539	Control
0.872081017014528	0.904906953605128	Control
0.409366824866042	0.0754434028292306	Control
0.892108190914505	0.904266244685556	Control
0.760870482740547	0.70926129201672	Control
0.609746184828389	0.596322135885743	Control
0.846166293204765	0.82902991604113	Control
0.713521773702524	0.585805534447845	Control
0.781569283140676	0.706438833016588	Control
0.583459481466045	0.406221188252564	Control
0.322587283333705	0.077445974535563	Control
0.836440355520593	0.870047314955912	Control
0.450219702398411	0.431930562461919	Control
0.818287931651148	0.769079442910486	Control
0.253482036989515	0.13805002381227	Control
0.809724211737829	0.777909514697117	Control
0.801651403896266	0.786848915690434	Control
0.750557758255236	0.673911625144447	Control
0.674241300120017	0.486735103238335	Control
0.846641548580322	0.838403294336691	Control
0.808979312600497	0.716283381187017	Control
0.526564814435365	0.415712271221325	Control
0.843556240961139	0.865842520218808	Control
0.794075992327448	0.751992679585996	Control
0.330936001892991	0.228323599105107	Control
0.748346090911396	0.660704209378064	Control
0.913525684119319	0.944583852071913	Control
0.907644158416405	0.856424224307306	Control
0.475583866148539	0.152158800178935	Control
0.183229948920847	0.0106430629486846	Control
0.494051096553233	0.368580177037011	Control
0.870340437429524	0.88003221221151	Control
0.52557980800498	0.442418644801595	Control
0.803274268117117	0.735928642923216	Control
0.753643593202867	0.700694712672311	Control
0.731235239342523	0.694479347739433	Control
0.183435120081491	0.087622957992245	Control
0.873552378259134	0.887186829871853	Control
0.879701621145616	0.889849460203331	Control
0.708582975515988	0.590226237839843	Control
0.252050932460089	0.00485290531445133	Control
0.381420114556536	0	Control
0.373718004515115	0.0279325281880088	Control
0.48155292553217	0.103542682254801	Control
0.448640757516134	0.308297107934717	Control
0.661736560849688	0.452711266173453	Control
0.262543446713422	0.0321978972923644	Control
0.74658270449101	0.641024530235668	Control
0.658585823060563	0.614838898641318	Control
0.730326627170282	0.582882881932423	Control
0.49745404956982	0.378474442681757	Control
0.570019923032137	0.436650836660363	Control
0.465024085221679	0.255157087058247	Control
0.819854831009445	0.801815483319996	Control
0.791616816792691	0.809974044384861	Control
0.554364664040356	0.247473985190834	Control
