immune cell proportion	TGCA-BC-index	type	tissue
0.362170037510005	-0.169006472911816	Breast cancer	Breast tissue
0.0715297161529573	0.822457192490816	Breast cancer	Breast tissue
0	-2.35231736133757	Control	Breast tissue
0.106262514001399	0.456852374488433	Breast cancer	Breast tissue
0.133183337910033	0.425662107001082	Breast cancer	Breast tissue
0.0909701753186366	0.472249763026611	Breast cancer	Breast tissue
0.323251280090479	0.29725021154717	Breast cancer	Breast tissue
0.0770155457425381	0.604447987050762	Breast cancer	Breast tissue
0.0916783331394494	0.730398533624027	Breast cancer	Breast tissue
0.127022281160439	1.10282817559053	Breast cancer	Breast tissue
0.237202277923828	0.597804742698277	Breast cancer	Breast tissue
0.034272430247762	0.958414087107108	Breast cancer	Breast tissue
0.138607401309193	-0.113204055922759	Breast cancer	Breast tissue
0.352165145423177	0.234951863376994	Breast cancer	Breast tissue
0.0628366749875137	1.13713173701444	Breast cancer	Breast tissue
0.0250142859322607	0.414191959296894	Breast cancer	Breast tissue
0.324655360722876	0.198437559741183	Breast cancer	Breast tissue
0.0300595736650493	-0.000241514835715169	Breast cancer	Breast tissue
0.128646224869822	0.788472122417557	Breast cancer	Breast tissue
0.0935458709503138	0.703590859648942	Breast cancer	Breast tissue
0.583995092940843	-0.230600157179929	Breast cancer	Breast tissue
0.406398250307651	0.0653487589905252	Breast cancer	Breast tissue
0.0790760787670524	1.37207768227569	Breast cancer	Breast tissue
0.0870868208934287	-1.65822187091421	Control	Breast tissue
0.102459817109009	0.414369098306305	Breast cancer	Breast tissue
0	-2.32499802492939	Control	Breast tissue
0.0776027212600147	1.12617569303475	Breast cancer	Breast tissue
0.0160839396826354	-1.82840491001167	Control	Breast tissue
0.0446265848081556	0.934242578947427	Breast cancer	Breast tissue
0.129858895744928	0.985238826518935	Breast cancer	Breast tissue
0.148291772410456	0.58480953582903	Breast cancer	Breast tissue
0.298286522686382	-0.12744910847948	Breast cancer	Breast tissue
0.042148661180124	-1.43943122038367	Control	Breast tissue
0.0428379564033494	0.89914222042267	Breast cancer	Breast tissue
0.0058152994053302	-1.82147393656229	Control	Breast tissue
0.0939920211958284	1.11085915977462	Breast cancer	Breast tissue
0.113671592396631	1.15486038074845	Breast cancer	Breast tissue
0.183142286268223	-0.0617858756979647	Breast cancer	Breast tissue
0.614749058042707	-0.215137150018324	Breast cancer	Breast tissue
0.399855105294145	0.589232521831737	Breast cancer	Breast tissue
0.0123642350847584	0.113740882806178	Breast cancer	Breast tissue
0.000699507436907048	-1.95912312223375	Control	Breast tissue
0.344876891028896	0.0758714325240032	Breast cancer	Breast tissue
0.0363500313316174	-1.80027164963577	Control	Breast tissue
0	-2.10080681339191	Control	Breast tissue
0.125292799278162	0.0416451802551601	Breast cancer	Breast tissue
0.155529007182796	1.21369629839033	Breast cancer	Breast tissue
0.332564365515271	-0.0575013255777063	Breast cancer	Breast tissue
0.450743618863748	0.143631177939632	Breast cancer	Breast tissue
0.0750545900784143	-1.84021278063616	Control	Breast tissue
0.123465779312686	1.35889240262998	Breast cancer	Breast tissue
0.139678433235572	0.426499175772955	Breast cancer	Breast tissue
0.954601447246891	-1.68159219087699	Control	Cervical sample
0.504041503060719	-1.2694358053068	Breast cancer	Cervical sample
0.667602086690338	-1.93806516864642	Control	Cervical sample
0.574135940658153	-1.39335793181972	Breast cancer	Cervical sample
0.461806675120373	-1.31014559755399	Breast cancer	Cervical sample
0.842759985789898	-1.66935073466917	Control	Cervical sample
0.34265338583768	-0.964780343684246	Control	Cervical sample
0.123695365952728	-1.02134545301172	Breast cancer	Cervical sample
0.739964872380819	-1.58450818209581	Control	Cervical sample
0	-1.08897608144603	Breast cancer	Cervical sample
0.171087763129129	-1.01927205007179	Control	Cervical sample
0.0369490456094573	-0.700314996108004	Breast cancer	Cervical sample
0.740280195214543	-1.61927075496667	Control	Cervical sample
0.839969824965385	-1.71836327422623	Control	Cervical sample
0.854339596823019	-1.75357279824804	Control	Cervical sample
0.357884091171241	-0.955749848871655	Breast cancer	Cervical sample
0.240160380098829	-1.27445321532765	Breast cancer	Cervical sample
0.100227241812263	-0.831372394105037	Breast cancer	Cervical sample
0.458967149507105	-1.12872795765735	Control	Cervical sample
0.779444017923686	-1.58322198299673	Control	Cervical sample
0.684868954865338	-1.63749045806276	Control	Cervical sample
0.70454886991033	-1.24634623712521	Breast cancer	Cervical sample
0.727981305505646	-1.7821009649618	Control	Cervical sample
0.74756121312272	-1.79550390214002	Breast cancer	Cervical sample
0.764389664290557	-1.37053867120234	Control	Cervical sample
0.848125295666407	-1.8183754706894	Breast cancer	Cervical sample
0.784079893673467	-1.7378491030304	Control	Cervical sample
0.0735593529966573	-0.840678522215765	Breast cancer	Cervical sample
0.950701425143518	-1.6138281440093	Control	Cervical sample
0.0116472039002767	-0.755819430519075	Control	Cervical sample
0.766975914599968	-1.67740571661299	Breast cancer	Cervical sample
0.50158613912235	-1.68272802793284	Control	Cervical sample
0.396439571725659	-1.42705398321327	Control	Cervical sample
0.927035094311054	-1.69936163405386	Control	Cervical sample
0.19567655210816	-0.929861213622433	Control	Cervical sample
0.693002874761634	-1.43113196409521	Control	Cervical sample
0.500718462664307	-1.69603388464776	Breast cancer	Cervical sample
0.276189726546185	-0.83511568020732	Control	Cervical sample
0.0608938551483585	-0.982715976465777	Breast cancer	Cervical sample
0.592223674117473	-1.39439038479283	Control	Cervical sample
0.625227543216308	-1.77611167780951	Breast cancer	Cervical sample
0.207153258172182	-1.20380977424267	Control	Cervical sample
0.446930686298846	-1.42178338867967	Breast cancer	Cervical sample
0.116759056432754	-1.08871814836378	Breast cancer	Cervical sample
0.429813887875932	-1.39156418785806	Control	Cervical sample
0.826747237143626	-1.73644349933008	Breast cancer	Cervical sample
0.274204848482443	-0.965250163296962	Control	Cervical sample
0.668852705022471	-1.5046091010268	Control	Cervical sample
0.316485646036089	-0.93106936375362	Control	Cervical sample
0.143970088811848	-1.24465820926978	Breast cancer	Cervical sample
0.293922777658187	-1.17914262920082	Control	Cervical sample
0.0583880829779853	-1.10520075059593	Control	Cervical sample
0.933130241628543	-1.93490013404438	Breast cancer	Cervical sample
0.460652226314014	-0.98819747667277	Control	Cervical sample
0.797868261640903	-1.69611087110308	Breast cancer	Cervical sample
0	-0.982788708404638	Control	Cervical sample
0.00280666085073405	-0.920797822973228	Control	Cervical sample
0.144717171336722	-1.04579338973979	Control	Cervical sample
0.268640881525343	-1.4210184545684	Breast cancer	Cervical sample
0.785914998733103	-1.50260507249175	Control	Cervical sample
0.415387045810946	-1.31789696511147	Control	Cervical sample
0.148653762188546	-1.22115820656582	Control	Cervical sample
0.0564130206777306	-1.00599410010947	Control	Cervical sample
0.0122263644248996	-0.947787341609417	Breast cancer	Cervical sample
0.497837348244679	-1.11591230633704	Breast cancer	Cervical sample
0.782952748660713	-1.63197412202891	Control	Cervical sample
0.178529914709047	-0.97894118918899	Breast cancer	Cervical sample
0	-1.0127277409622	Breast cancer	Cervical sample
0.380639708598416	-1.15989851455164	Control	Cervical sample
0.385024417255426	-1.14377571423821	Control	Cervical sample
0.890773576466275	-1.75148135474943	Control	Cervical sample
0.0196161154486661	-1.01321753854669	Control	Cervical sample
0.0116600573118765	-0.98143011853923	Control	Cervical sample
