delta beta in cervical samples	delta beta in breast tissue at risk
0.000443166942251078	-0.00116741265535258
-0.00102757925700946	0.00925817149532168
-0.0132573109603483	0.0438506960613593
-0.0414788488858816	-0.0379348961254706
-0.00158191337822955	-0.0527406503877241
0.0071939271268735	-0.0352696959322379
-0.00416682994384321	0.00584633976223758
-0.00077024770641794	-0.000182868796417622
9.86591072675395e-05	4.26209578923524e-05
-0.00924867675420427	-0.0377674049626452
-0.000282564182703657	0.000144217655168723
0.000537473378990849	0.000108687072860908
-0.000320756897311765	-0.000183570775417786
0.000570571665687303	-0.00605987330887387
-6.0291026566673e-05	-0.000275955659365518
-0.000599244948532227	-1.96026617292309e-05
-0.00076466993117516	0.00124866905909452
-1.43528937572961e-05	0.00165411659729778
3.85377561706642e-05	0.000395764287527491
0.000692984899310613	-0.00139364561949861
-5.6582434806024e-05	3.598122971981e-05
0.00111957086088267	-0.00137486069281051
0.000388837602512493	-0.000755615785197183
0.000351285430392593	-0.000596854887834872
-0.00252843887229485	-7.00991332403811e-05
0.000317157756661997	-0.000990400185998929
0.00106165493418668	-0.000810747771955542
0.00067589489023856	0.00467401716611253
-0.000828606392261622	-0.00183184685845601
7.53723696917466e-05	0.00465171061329611
0.000447032872811559	6.59048305535793e-05
-0.000614285410485731	-7.31926365027322e-05
0.000296792492173743	-0.000317961368983488
-0.000775263707868845	0.000574610313324279
-0.000642007505135801	-0.0010574436177571
0.0020004998762807	0.000507958454667532
7.131484726643e-05	-0.000372234060494057
0.00102732753000669	0.00440012744959635
9.01370338438415e-06	0.000290667885590581
0.000683975691164223	-0.0232513350282007
0.000451283578700657	-0.00414358001060008
0.000963994113776432	-0.000525536832965995
0.000932298834516853	0.00922107539712562
0.000926896515651296	-0.00239046706786729
0.00020365310534156	-0.0284658391788747
0.00102022755669168	-0.0108716141545065
-6.47028636241651e-05	0.000174510313201984
0.000635997605543698	0.00125977093842218
8.05291367072351e-05	5.56109535004151e-05
0.0011576050324291	0.00141075719647882
0.000171003853225608	0.00713961108353385
-0.0033214562339407	-0.0441852445257852
7.69610706196008e-05	-0.00534010045809835
-0.0379111266031932	-0.0354723810690786
-0.0392338458487066	-0.0171326001536866
-0.0404899860983365	0.00231371760109544
5.92500781608843e-06	-9.18306986307516e-05
-0.0349321892095589	-0.0837391621410279
-0.0385847969200134	0.0152387574130499
-0.0331277665723648	0.00972644799859898
9.82520951098645e-06	0.00079335902594237
-0.000237560416211934	0.00103101295596184
0.000220455837545246	-0.00194738936060953
-0.000447732642594182	-0.00143353279755666
0.000723194842826659	0.00139983332679139
0.000149649990350387	0.0119090079730091
0.00140411980692855	0.0080953547395364
0.000244244132030075	-0.00460252955645878
8.82332566254588e-05	0.00102632846296643
7.29592412849443e-05	-0.00133417160869167
0.00018690205759557	0.00795286573112894
6.9256045235732e-05	-0.000393016519676059
2.01851083111524e-05	-0.000632824544284814
0.00051237947699978	0.00150208570915051
0.000148605732818443	-0.00100459943008156
-0.0100369202922082	-0.0581646936633271
0.00036076386430333	-0.00156607309524533
0.00027123719941885	-0.00213658999514782
7.6092894923949e-05	-0.000682791647630248
-0.000473867865295064	7.68525688353804e-05
-0.000393017054570354	-0.000726355746781603
7.97525822785264e-06	-0.000875896790341663
-0.000247775534533971	9.98785394263554e-05
-0.000181304391828976	0.000689241969275341
-0.000150197979332113	0.0029967699248235
0.00012077474254461	-0.000143912490026554
-0.00219781312086503	0.00100850463659086
-0.000816266592821451	-0.00102742413025886
-0.000105204377871147	0.00029645696048081
0.000729043569358712	-0.00077317363709201
-0.0358616102649935	0.0122080182716699
-0.0470597100146842	-0.0309513305657172
-0.0139601266245171	-0.0207379316372429
0.000254184080223416	3.99358485814703e-05
0.000150257054570467	-0.00505364566319663
0.000451404830495387	-0.00452972349546549
-0.0408701512902632	-0.0472113186567948
-0.000607316580938558	-0.000107401368079196
-0.00018485368970968	0.002420625772396
-0.0437043050528939	-0.0396558911703875
0.000152432295408456	-0.000444620500223215
0.000355174004236316	-0.000561634047436508
-0.000161631601972002	-0.000686714231909399
0.00101552011908602	0.000563361950999368
-0.0493987423396203	-0.000781342199637769
-0.00108006083359204	0.00301097631666743
0.000364775141566083	0.000351053183459956
0.00521844216112851	-0.00353670670824602
0.000400661792106211	0.00912275438059718
-0.00216540939193966	0.00727770202669763
-0.045310291998208	0.00221656486835586
-0.0479348349798131	-0.0128716252306581
-0.0488795366968595	-0.000507521393755317
3.96837495089779e-05	-0.00011838906110417
-0.000803434963343962	-0.000458278991942524
0.000128235533629548	-0.00128887619627618
-0.00033795735686204	0.00762927094333544
4.61597921422446e-05	0.000661902500732732
-0.000553910088377282	-0.000577191681089172
2.15715931842723e-05	-0.000503661626226388
0.000528783471867553	0.000949072819017481
0.00196845572519705	-0.00793445408288931
0.00177726793444418	0.00344004754590769
0.00082893700000905	-0.00249098451915745
-0.000209517674635597	0.000649433099593404
